Complexity,Loss,Equation
1,0.3967963,"1.1428854"
3,0.3250589,"1.7211843 / x2"
5,0.231121,"(x1 + -299.47168) / x2"
7,0.1878286,"(0.8855572 + (x0 * 484.29263)) / x2"
9,0.18477234,"(((459.19745 * x0) - -0.7446818) / x2) - -0.1399225"
11,0.17815506,"(((x0 * 885.1375) - (x1 - 300.9762)) / x2) - -0.32121778"
13,0.17189911,"((((x0 * 984.3347) - (x1 - x2)) - -300.7688) / x2) + -0.6582228"
15,0.1715896,"((((x0 * 885.1375) / 0.963353) - ((x1 - 300.9762) / 1.1942859)) / x2) - -0.25749654"
17,0.17149208,"((((x0 * 885.1375) / (0.963353 + x0)) - ((x1 - 300.9762) / 1.1942859)) / x2) - -0.25749654"
19,0.16998237,"(((((x0 * 885.1375) * 1.202535) - ((x1 + -0.29083243) - 300.9762)) / (x2 - -0.48002282)) - x0) - -0.25749654"
